id,title,description,price,discountPercentage,rating,stock,brand,category,thumbnail,extracted_at,estimated_revenue
59,Glass,The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.,4.99,7.92,4.02,46,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/thumbnail.webp,2025-11-26 13:29:58.567364,229.54000000000002
60,Grater Black,"The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.",10.99,3.56,3.21,84,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/thumbnail.webp,2025-11-26 13:29:58.567364,923.16
61,Hand Blender,"The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.",34.99,17.02,3.86,84,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/thumbnail.webp,2025-11-26 13:29:58.567364,2939.1600000000003
62,Ice Cube Tray,The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.,5.99,0.63,4.71,13,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/thumbnail.webp,2025-11-26 13:29:58.567364,77.87
63,Kitchen Sieve,The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.,7.99,18.91,3.09,68,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/thumbnail.webp,2025-11-26 13:29:58.567364,543.32
64,Knife,"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.",14.99,18.86,3.26,7,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/thumbnail.webp,2025-11-26 13:29:58.567364,104.93
65,Lunch Box,"The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.",12.99,10.34,4.93,94,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp,2025-11-26 13:29:58.567364,1221.06
66,Microwave Oven,"The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",89.99,12.13,4.82,59,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/thumbnail.webp,2025-11-26 13:29:58.567364,5309.41
67,Mug Tree Stand,The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.,15.99,9.25,2.64,88,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/thumbnail.webp,2025-11-26 13:29:58.567364,1407.1200000000001
68,Pan,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",24.99,3.0,2.79,90,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/thumbnail.webp,2025-11-26 13:29:58.567364,2249.1
69,Plate,The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.,3.99,7.31,3.65,66,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp,2025-11-26 13:29:58.567364,263.34000000000003
70,Red Tongs,The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.,6.99,14.52,4.42,82,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/red-tongs/thumbnail.webp,2025-11-26 13:29:58.567364,573.1800000000001
71,Silver Pot With Glass Cap,"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",39.99,5.7,3.22,40,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/thumbnail.webp,2025-11-26 13:29:58.567364,1599.6000000000001
72,Slotted Turner,"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",8.99,13.35,3.4,88,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/thumbnail.webp,2025-11-26 13:29:58.567364,791.12
73,Spice Rack,The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.,19.99,12.09,4.87,79,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/thumbnail.webp,2025-11-26 13:29:58.567364,1579.2099999999998
74,Spoon,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",4.99,1.53,4.03,59,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/thumbnail.webp,2025-11-26 13:29:58.567364,294.41
75,Tray,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",16.99,7.48,4.62,71,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/thumbnail.webp,2025-11-26 13:29:58.567364,1206.29
76,Wooden Rolling Pin,The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.,11.99,9.75,2.92,80,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/wooden-rolling-pin/thumbnail.webp,2025-11-26 13:29:58.567364,959.2
77,Yellow Peeler,The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.,5.99,12.48,4.24,35,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/thumbnail.webp,2025-11-26 13:29:58.567364,209.65
78,Apple MacBook Pro 14 Inch Space Grey,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",1999.99,4.69,3.65,24,Apple,laptops,https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp,2025-11-26 13:29:58.567364,47999.76
79,Asus Zenbook Pro Dual Screen Laptop,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",1799.99,11.14,3.95,45,Asus,laptops,https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/thumbnail.webp,2025-11-26 13:29:58.567364,80999.55
80,Huawei Matebook X Pro,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",1399.99,9.38,4.98,75,Huawei,laptops,https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/thumbnail.webp,2025-11-26 13:29:58.567364,104999.25
81,Lenovo Yoga 920,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",1099.99,6.55,2.86,40,Lenovo,laptops,https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/thumbnail.webp,2025-11-26 13:29:58.567364,43999.6
82,New DELL XPS 13 9300 Laptop,"The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",1499.99,11.89,2.67,74,Dell,laptops,https://cdn.dummyjson.com/product-images/laptops/new-dell-xps-13-9300-laptop/thumbnail.webp,2025-11-26 13:29:58.567364,110999.26
83,Blue & Black Check Shirt,"The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",29.99,15.35,3.64,38,Fashion Trends,mens-shirts,https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/thumbnail.webp,2025-11-26 13:29:58.567364,1139.62
84,Gigabyte Aorus Men Tshirt,"The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",24.99,0.94,3.18,90,Gigabyte,mens-shirts,https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp,2025-11-26 13:29:58.567364,2249.1
85,Man Plaid Shirt,The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.,34.99,19.5,3.46,82,Classic Wear,mens-shirts,https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/thumbnail.webp,2025-11-26 13:29:58.567364,2869.1800000000003
86,Man Short Sleeve Shirt,"The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look.",19.99,6.83,2.9,2,Casual Comfort,mens-shirts,https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp,2025-11-26 13:29:58.567364,39.98
87,Men Check Shirt,"The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe.",27.99,11.38,2.72,95,Urban Chic,mens-shirts,https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp,2025-11-26 13:29:58.567364,2659.0499999999997
88,Nike Air Jordan 1 Red And Black,"The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes.",149.99,4.12,4.77,7,Nike,mens-shoes,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp,2025-11-26 13:29:58.567364,1049.93
89,Nike Baseball Cleats,Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.,79.99,18.04,3.88,12,Nike,mens-shoes,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp,2025-11-26 13:29:58.567364,959.8799999999999
90,Puma Future Rider Trainers,"The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use.",89.99,4.2,4.9,90,Puma,mens-shoes,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp,2025-11-26 13:29:58.567364,8099.099999999999
91,Sports Sneakers Off White & Red,"The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch.",119.99,4.97,4.77,17,Off White,mens-shoes,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp,2025-11-26 13:29:58.567364,2039.83
92,Sports Sneakers Off White Red,"Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions.",109.99,0.04,4.69,62,Off White,mens-shoes,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp,2025-11-26 13:29:58.567364,6819.38
93,Brown Leather Belt Watch,"The Brown Leather Belt Watch is a stylish timepiece with a classic design. Featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look.",89.99,5.99,4.19,32,Fashion Timepieces,mens-watches,https://cdn.dummyjson.com/product-images/mens-watches/brown-leather-belt-watch/thumbnail.webp,2025-11-26 13:29:58.567364,2879.68
